greV,greQ,greA,cgpa,univName
157.0,155.0,4.0,3.93,University Of Iowa
166.0,162.0,5.0,3.03,Northeastern University
162.0,161.0,5.5,3.85,Columbia University
167.0,170.0,5.0,3.65,"University Of Californa, Los Angeles (UCLA)"
163.0,168.0,5.0,3.65,Columbia University
152.0,165.0,4.0,3.86,Ohio State University
154.0,159.0,5.5,3.86,Georgetown University
149.0,150.0,4.0,3.66,University Of Delaware
161.0,162.0,5.5,3.18,Johns Hopkins University
154.0,168.0,3.5,3.68,University Of Texas At Austin
170.0,160.0,4.0,3.59,McGill University
164.0,165.0,0.0,3.75,Duke University
152.0,167.0,4.0,3.3,North Carolina State University (NCSU)
163.0,169.0,4.0,3.3,University Of Maryland College Park
152.0,147.0,0.0,3.33,University Of South Florida
163.0,169.0,4.0,3.85,Northwestern University
162.0,158.0,4.5,3.08,Ohio State University
157.0,168.0,4.0,3.66,University Of Maryland College Park
156.0,170.0,3.0,3.5,Iowa State University
158.0,167.0,5.0,3.64,"University Of California, Irvine"
169.0,168.0,4.5,3.75,Columbia University
148.0,165.0,4.0,3.71,"University Of California, San Diego"
163.0,169.0,3.5,3.88,"University Of California, San Diego"
165.0,169.0,5.5,3.95,University Of Michigan
164.0,165.0,4.0,3.48,University Of Southern California
161.0,170.0,3.5,3.9,University Of Oxford
163.0,170.0,5.0,3.88,Iowa State University
170.0,164.0,4.0,4.0,"University Of Californa, Los Angeles (UCLA)"
163.0,155.0,4.0,3.83,University Of Florida
158.0,166.0,4.0,3.47,University Of Southern California
150.0,164.0,4.0,3.64,Northwestern University
155.0,170.0,3.5,3.92,Purdue University - West Lafayette
156.0,169.0,4.0,3.72,Carnegie Mellon University
160.0,170.0,4.0,3.0,University Of Minnesota
154.0,167.0,3.0,3.77,Northwestern University
158.0,164.0,3.5,3.6,University Of Minnesota
161.0,170.0,4.0,3.94,University Of Texas At Austin
158.0,164.0,3.5,3.7,Tufts University
166.0,151.0,6.0,3.96,University Of Maryland College Park
158.0,161.0,5.0,3.4,University Of Texas At Austin
158.0,161.0,5.0,3.4,American University
152.0,168.0,3.0,3.74,"University Of California, Davis"
165.0,169.0,4.5,3.9,Tufts University
165.0,169.0,4.5,3.9,Stony Brook University
165.0,169.0,4.5,3.9,Boston University
157.0,166.0,3.0,3.4,Iowa State University
150.0,168.0,5.0,3.9,Georgia State University
164.0,166.0,4.0,8.56,University Of Wisconsin-Madison
157.0,157.0,4.5,3.6,University Of Toronto
155.0,165.0,3.5,3.6,University Of Southern California
165.0,169.0,4.5,3.49,Stony Brook University
163.0,167.0,5.0,3.26,Johns Hopkins University
157.0,170.0,0.0,4.0,Iowa State University
150.0,170.0,3.5,3.85,Iowa State University
166.0,166.0,5.0,3.54,Princeton University
170.0,162.0,4.5,3.68,University Of Pittsburgh
155.0,170.0,4.5,3.98,Columbia University
160.0,166.0,4.5,3.92,Carnegie Mellon University
153.0,167.0,3.5,3.96,University Of Michigan
152.0,168.0,3.5,3.58,University Of Texas At Dallas
157.0,164.0,4.0,3.9,Columbia University
152.0,165.0,4.0,3.78,University Of Pittsburgh
170.0,170.0,5.0,3.8,New York University
167.0,168.0,5.0,3.66,"University Of California, San Diego"
169.0,157.0,5.0,3.79,"University Of Californa, Los Angeles (UCLA)"
159.0,168.0,4.0,8.52,Northeastern University
152.0,148.0,5.0,3.95,New York University
